
PC,Status,Tue Sep 11 14:06:12 2012
AM3063087,Host Unavailable

PC,Status,Tue Sep 11 14:08:23 2012
CNFRKAM3290633,
PC,Status,Thu Feb 28 11:52:33 2013
AM1634306,Host Unavailable

PC,Status,Thu Feb 28 11:52:45 2013
CNFRKAM1634306,Error copying software

PC,Status,Thu Feb 28 11:53:37 2013
CNFRKAM1634306,Error copying software

PC,Status,Thu Feb 28 11:58:32 2013
CNFRKAM1634306,Software Copied,reg

PC,Status,Thu Feb 28 14:11:21 2013
cnfrkam3061344,Software Copied,reg

PC,Status,Mon Mar 11 16:19:54 2013
cnfrkam3149318,Software Copied,reg
